Superficie implantada en las explotaciones agropecuarias por grupo de cultivos, según período de ocupación y provincia, en hectáreas.;;;;;;;;;;;;;;;;
Fuente: INDEC. Censo Nacional Agropecuario 2018. Resultados definitivos;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
CODIGO;PROVINCIA;PERIODO DE OCUPACION;TOTAL;GRUPO DE CULTIVOS CEREALES;GRUPO DE CULTIVOS OLEAGINOSAS;GRUPO DE CULTIVOS CULTIVOS INDUSTRIALES;GRUPO DE CULTIVOS LEGUMBRES;GRUPO DE CULTIVOS FORRAJERAS ANUALES;GRUPO DE CULTIVOS FORRAJERAS PERENNES;GRUPO DE CULTIVOS ORTALIZAS;GRUPO DE CULTIVOS FLORES DE CORTE;GRUPO DE CULTIVOS AROMATICAS MEDICINALES Y CONDIMENTARIAS;GRUPO DE CULTIVOS FRUTALES;GRUPO DE CULTIVOS BOSQUES Y MONTES IMPLANTADOS;GRUPO DE CULTIVOS VIVEROS;GRUPO DE CULTIVOS SIN DISCRIMINAR
66;Salta;Segunda Ocupacion;74.920,30;29.870,90;32.271,30;162;8.124,00;1.167,30;3.015,00;101,3;'-;72,7;45,5;3;'-;87
70;San Juan;Total;66.052,60;206,6;0;0;52,3;351,7;7.187,60;5.112,80;2,3;51;50.684,20;554,8;23,9;1.825,00
70;San Juan;Primera Ocupacion;65.639,50;196,6;'-;'-;51,1;282,8;7.185,40;5.084,50;2,3;51;50.390,70;554,8;23,9;1.816,00
70;San Juan;Segunda Ocupacion;413,1;10;'-;'-;1.25;68,9;2,2;28,3;'-;'-;293,5;'-;'-;8.95
74;San Luis;Total;951.562,00;281.773,50;241.355,50;5.350,00;1.534,50;206.030,30;212.276,50;1.930,10;6.4;1.5;348,9;67,5;0;887
74;San Luis;Primera Ocupacion;919.355,20;275.111,20;235.797,00;4.673,00;1.381,50;188.390,30;210.762,50;1.928,10;6.4;1.5;348,9;67,5;'-;887
74;San Luis;Segunda Ocupacion;32.206,70;6.662,30;5.558,50;677;153;17.639,90;1.514,00;2;'-;'-;'-;'-;'-;0
78;Santa Cruz;Total;11.499,40;0.018;0;0;0.138;14,8;11.248,90;9;0.52;0;225,6;0.4;0;0
78;Santa Cruz;Primera Ocupacion;11.492,10;0.018;'-;'-;0.138;10;11.248,90;9;0.52;'-;223,1;0.4;'-;0
78;Santa Cruz;Segunda Ocupacion;7,3;'-;'-;'-;'-;4,8;'-;'-;'-;'-;2,5;'-;'-;0
82;Santa Fe;Total;4.841.292,20;1.544.713,20;2.491.756,60;34.015,60;26.454,50;314.753,80;400.031,20;5.349,90;15,5;466,5;501,7;8.887,30;46,4;14.299,60
82;Santa Fe;Primera Ocupacion;3.921.583,70;1.391.658,90;1.806.743,70;30.744,60;25.277,50;265.391,50;373.069,40;5.167,60;15,5;466,5;496,7;8.887,30;46,4;13.617,60
82;Santa Fe;Segunda Ocupacion;919.708,50;153.054,20;685.012,80;3.271,00;1.177,00;49.362,30;26.961,80;182,2;'-;'-;5;'-;'-;682
86;Santiago del Estero;Total;1.991.609,40;762.903,50;769.243,10;93.069,20;35.967,50;58.613,10;245.537,80;6.816,90;0;12;377,2;14.059,00;9,7;5.000,00
86;Santiago del Estero;Primera Ocupacion;1.707.891,30;637.479,00;642.406,10;87.626,70;29.104,00;52.740,10;232.918,30;6.339,50;'-;12;376,5;14.059,00;9,7;4.820,00
86;Santiago del Estero;Segunda Ocupacion;283.718,10;125.424,50;126.837,00;5.442,50;6.863,50;5.873,00;12.619,50;477,3;'-;'-;0.75;'-;'-;180
94;Tierra del Fuego;Total;98,7;0;0;0;0;32,2;58,6;6,5;0;0.6796;0.61;0;0.06;0
94;Tierra del Fuego;Primera Ocupacion;78,1;'-;'-;'-;'-;12,2;58,6;6,3;'-;0.2746;0.61;'-;0.06;'-
94;Tierra del Fuego;Segunda Ocupacion;20,6;'-;'-;'-;'-;20;'-;0.2;'-;0.405;'-;'-;'-;0
90;Tucumán;Total;548.728,80;104.680,30;112.263,90;228.757,00;12.489,50;11.347,30;18.366,00;6.402,20;1.84;0.15;52.852,60;512,3;70,5;985
90;Tucumán;Primera Ocupacion;494.525,30;86.423,10;82.381,80;226.388,70;12.259,50;8.708,80;18.036,30;6.308,50;1.80;0.15;52.454,50;506,3;70,5;985
90;Tucumán;Segunda Ocupacion;54.203,50;18.257,20;29.882,10;2.368,30;230;2.638,40;329,6;93,6;0.04;'-;398,1;6;'-;0
