ano_edicion,provincia,cumple_no_cumple_fy_v,genero,edad,rango_edad,nivel_de_instruccion,quintil_ingresos,indice_nbi_hogar_dic,promedio_fyv_dia,region,eap_frutihorticola_ter,grupo_hortalizas_ha,grupo_frutales_ha,hort_x_habitantes,frut_x_habitantes,hort_x_10mil_habitantes,frut_x_10mil_habitantes,porcentaje_hogares_nbi,num_habitantes
2009,Buenos Aires,1,Mujer,68,5,Primario,4,0,4,2,Alto,28335.1,4961.4,0.0018993976380116825,3.3257943120833033e-4,18.993976380116823,3.3257943120833033,8.14096156496191,14917940
2009,San Luis,0,Mujer,31,2,Secundario,1,0,1.71428571428571,5,Bajo,56,307.2,1.3083347935284153e-4,7.177150867355879e-4,1.3083347935284153,7.177150867355879,7.878066844203527,428025
2009,Neuquen,0,Varon,50,4,Secundario,4,0,0.142857142857143,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Mendoza,1,Varon,35,3,Primario,1,0,3.28571428571429,5,Alto,31054.8,209491.6,0.018145675861391968,0.12240834490270046,181.45675861391967,1224.0834490270047,7.612950422458931,1711416
2009,Buenos Aires,0,Varon,61,4,Primario,1,0,1.42857142857143,1,Alto,28335.1,4961.4,0.0018993976380116825,3.3257943120833033e-4,18.993976380116823,3.3257943120833033,8.14096156496191,14917940
2009,Tierra del Fuego,1,Mujer,25,2,Secundario,1,0,3.28571428571429,6,Bajo,3.1,0.2,2.5299720070839218e-5,1.6322400045702722e-6,0.25299720070839216,0.016322400045702724,14.2422445836328,122531
2009,Santa Fe,0,Varon,37,3,Primario,1,0,0.428571428571429,2,Medio,6110.3,651.1,0.00189712675475609,2.0215361439236866e-4,18.9712675475609,2.0215361439236865,6.434409055878381,3220818
2009,Buenos Aires,1,Mujer,62,4,Terc/Univ,4,0,5,2,Alto,28335.1,4961.4,0.0018993976380116825,3.3257943120833033e-4,18.993976380116823,3.3257943120833033,8.14096156496191,14917940
2009,Chaco,0,Varon,58,4,Primario,1,0,1.85714285714286,4,Bajo,4859.4,83.8,0.004659592033990455,8.035432614075814e-5,46.59592033990455,0.8035432614075814,18.1621666863138,1042881
2009,San Juan,0,Varon,78,5,Secundario,4,0,1.57142857142857,5,Alto,5603.1,66331.6,0.008169177541942286,0.09670978869573967,81.69177541942285,967.0978869573967,10.242443058338743,685883
2009,Formosa,0,Varon,32,2,Secundario,2,0,1.57142857142857,4,Medio,4692.5,2906.4,0.008816544478222148,0.005460714943314833,88.16544478222148,54.60714943314833,19.73086819241214,532238
2009,San Luis,0,Varon,37,3,Primario,1,0,2.14285714285714,5,Bajo,56,307.2,1.3083347935284153e-4,7.177150867355879e-4,1.3083347935284153,7.177150867355879,7.878066844203527,428025
2009,Rio Negro,0,Mujer,26,2,Terc/Univ,1,0,2.14285714285714,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Entre Rios,0,Mujer,26,2,Primario,1,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Corrientes,0,Mujer,39,3,Secundario,1,0,1.14285714285714,4,Medio,656.3,15865.1,6.547182008268024e-4,0.015826862300681553,6.547182008268025,158.26862300681555,15.096509669637822,1002416
2009,Mendoza,0,Mujer,59,4,Terc/Univ,4,0,2.42857142857143,5,Alto,31054.8,209491.6,0.018145675861391968,0.12240834490270046,181.45675861391967,1224.0834490270047,7.612950422458931,1711416
2009,Catamarca,0,Mujer,33,2,Secundario,1,0,1.28571428571429,3,Alto,2723.4,30205.6,0.007155318276880393,0.07936060870387691,71.55318276880392,793.6060870387691,11.3450900511453,380612
2009,Cordoba,0,Varon,40,3,Primario,4,0,1.71428571428571,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Corrientes,0,Varon,36,3,Terc/Univ,4,0,0.714285714285714,4,Medio,656.3,15865.1,6.547182008268024e-4,0.015826862300681553,6.547182008268025,158.26862300681555,15.096509669637822,1002416
2009,Formosa,0,Varon,43,3,Secundario,5,0,2,4,Medio,4692.5,2906.4,0.008816544478222148,0.005460714943314833,88.16544478222148,54.60714943314833,19.73086819241214,532238
2009,Tucuman,0,Mujer,60,4,Secundario,1,0,1.42857142857143,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Mendoza,0,Mujer,72,5,Primario,2,0,2,5,Alto,31054.8,209491.6,0.018145675861391968,0.12240834490270046,181.45675861391967,1224.0834490270047,7.612950422458931,1711416
2009,Santa Cruz,0,Mujer,76,5,Primario,4,0,1.42857142857143,6,Bajo,20.7,178.2,9.329745663020404e-5,8.031694092513217e-4,0.9329745663020403,8.031694092513217,8.22201770257714,221871
